Registration ID,Student Name,Final Rank,Attempt 1 Total,Attempt 2 Total,Overall Percentile,Maths Percentile,Physics Percentile,Chemistry Percentile
20220004848,Virendar Gangwar,139,235,239,98.7470169,98.9856796,98.2696915,99.2840118
20220003869,Shankar Gowda,141,240,239,98.7470169,98.5083542,99.4630051,98.1503601
20220008722,Dinesh Chatterjee,156,237,238,98.567337,98.9111786,98.6246414,98.968483
20220003640,Mohit Vyas,169,225,219,98.4527206,98.510025,97.9942703,98.4527206
20220003534,Kumar Gupta,170,237,237,98.4486847,98.9856796,98.2696915,98.6873474
20220004886,Ram Bishnoi,173,233,237,98.4486847,98.2696915,98.5083542,99.2840118
20220002859,Smitha Chakraborty,174,224,220,98.3954163,98.510025,97.7077332,98.4527206
20220001797,Sudha Dutta,175,224,219,98.3954163,98.1661911,98.1661911,98.4527206
20220007392,Kumar Trivedi,179,240,235,98.3490601,97.9363174,98.3490601,98.9976425
20220008071,Tejas Manjrekar,180,234,240,98.3080521,98.1913681,98.3080521,98.5997696
20220002779,Mallikarjun Patel,182,223,222,98.2807999,98.510025,98.3954163,97.478508
20220004585,Madhav Gupta,183,223,223,98.2807999,97.53582,98.6246414,98.2807999
20220001960,Shyam Chakraborty,191,239,232,98.2311325,98.2311325,98.46698,98.40802
20220001926,Kumar Ranade,192,232,236,98.210022,98.1503601,98.7470169,98.6873474
20220007574,Siddhi Bishnoi,194,240,238,98.1903076,98.1903076,98.073555,98.5405731
20220008010,Rajat Chatterjee,195,221,214,98.1661911,97.9369659,98.3381119,98.1088791
20220001446,Bijoe Thomas,197,238,238,98.1330185,98.1913681,98.1913681,98.483078
20220008133,Sudha Kaushik,198,236,237,98.1319351,98.5989456,98.3070602,97.8984222
20220002671,Smitha Bishnoi,199,236,237,98.1319351,98.073555,98.073555,98.5405731
20220002263,Sachin Kulkarni,203,220,219,98.1088791,97.9369659,97.9942703,98.2234955
20220009312,Virendar Ranade,205,221,226,98.0906906,97.9713593,98.2696915,97.4343643
20220000313,Rajat Kaushik,206,219,219,98.0515747,98.510025,97.5931244,97.9942703
20220006746,Siddharth Tendulkar,207,219,220,98.0515747,98.1661911,97.9942703,97.9942703
20220006084,Aryan Gangwar,208,219,217,98.0515747,97.7077332,98.3381119,98.1088791
20220003348,Vishal Gavaskar,209,227,224,98.0310287,97.1957016,98.2696915,98.1503601
20220008831,Veena Rao,211,219,223,97.9713593,98.1503601,97.0763702,97.6730347
20220003076,Aamir Ansari,212,218,223,97.9713593,98.1503601,96.9570389,97.9713593
20220005737,Rajat Verma,214,221,223,97.9713593,97.8520279,97.4940338,97.9713593
20220007108,Vijay Manjrekar,215,226,223,97.9713593,97.7326965,97.9116974,97.792366
20220009013,Manjunath Ranade,216,221,223,97.9713593,97.7326965,97.9116974,97.792366
20220002309,Mallikarjun Gowda,220,240,236,97.8984222,98.5989456,97.8400497,98.073555
20220005119,Aryan Verma,221,221,229,97.8413086,97.666275,97.9579926,97.9579926
20220009555,Suman Gaekwad,222,240,236,97.8362579,97.1929855,98.596489,97.4853821
20220000509,Virat Chatterjee,223,217,222,97.8223495,98.1661911,97.7077332,97.7077332
20220005113,Mallikarjun Manjrekar,224,217,225,97.8223495,97.7650452,98.1661911,97.7077332
20220005536,Abdul Khaif,226,219,225,97.7829666,97.4329071,97.5495911,97.724617
20220001987,Shankar Garg,227,218,225,97.7829666,97.0245056,97.7829666,97.9579926
20220005513,Isaac Thomas,230,226,213,97.70047,97.228775,97.7594376,97.58255
20220007663,Rohit Gaekwad,231,226,224,97.70047,97.0518875,97.7594376,97.8773575
20220000881,Salman Ahmed,234,220,224,97.666275,97.8413086,97.3162231,97.4329071
20220009155,Ravi Tendulkar,235,221,225,97.664917,97.664917,97.8400497,96.9643936
20220008070,Rohit Dutta,236,221,225,97.664917,97.0227661,97.5481644,97.664917
20220000423,Madhav Sharma,239,216,216,97.6504288,98.2234955,97.5931244,97.478508
20220005526,Isaac Waugh,241,216,226,97.6504288,97.7077332,97.9942703,97.9942703
20220001708,Virat Chakraborty,244,218,223,97.607933,97.666275,96.9661636,97.724617
20220003571,Sachin Bhatt,245,223,223,97.607933,97.4329071,97.5495911,97.4329071
20220005458,Felix Anthony,246,224,223,97.607933,97.1411896,97.7829666,97.4329071
20220004696,Siddharth Tiwari,249,224,221,97.58255,97.5235825,97.7594376,97.0518875
20220002241,Dinesh Verma,250,224,219,97.58255,97.5235825,97.3466949,97.228775
20220005347,Ram Patel,251,226,221,97.5536957,97.4343643,97.4940338,97.9713593
20220000607,Pranav Sharma,254,219,224,97.5481644,96.6141281,97.8400497,97.664917
20220008457,Mallikarjun Garg,255,220,220,97.4940338,97.7326965,98.2696915,96.9570389
